416,Ximenez,CBD,Available
497,Lorinda,Hospital,Busy
471,Alida,Cafe,Busy
438,Cathrine,Airport,Available
429,Marleen,Airport,Busy
417,Georgi,Airport,Busy
472,Blair,Mall,Busy
437,Myrtice,SuburbNorth,Available
481,Gottfried,Cafe,Available
488,Carmella,SuburbSouth,Available
465,Toddy,Uni,Busy
467,Nady,Mall,Busy
499,Suellen,Hospital,Available
435,Ferguson,Airport,Available
489,Yule,Cafe,Busy
401,Kenny,Mall,Available
446,Lil,Mall,Busy
433,Ephrem,Airport,Available
482,Francois,Mall,Offline
425,Lora,Cafe,Busy
